Benchmark                                         (kind)  (offset)  (size)  Mode  Cnt        Score        Error  Units
c.m.a.b.set.SetSetBench.intersect                hashset       1.0   10000  avgt    6   197319.807 ±   4091.510  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       1.0  100000  avgt    6  2497429.123 ±  54511.437  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.0       1  avgt    6       27.933 ±      2.970  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.0      10  avgt    6      131.905 ±      2.864  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.0     100  avgt    6     1333.634 ±      7.952  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.0    1000  avgt    6    23062.171 ±   1474.431  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.0   10000  avgt    6   286775.486 ±  25886.117  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.0  100000  avgt    6  3746202.006 ± 219415.550  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.5       1  avgt    6       27.697 ±      2.377  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.5      10  avgt    6      156.925 ±      8.864  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.5     100  avgt    6     1575.243 ±     26.120  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.5    1000  avgt    6    27892.429 ±    407.808  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.5   10000  avgt    6   315471.914 ±  10528.547  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       0.5  100000  avgt    6  4821986.985 ±  92024.150  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       1.0       1  avgt    6       32.815 ±      0.247  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       1.0      10  avgt    6      168.914 ±      1.673  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       1.0     100  avgt    6     1828.483 ±     85.215  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       1.0    1000  avgt    6    29476.658 ±    365.926  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       1.0   10000  avgt    6   333242.876 ±   1414.678  ns/op
c.m.a.b.set.SetSetBench.intersect              sortedset       1.0  100000  avgt    6  4831732.118 ± 137474.116  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.0       1  avgt    6        4.817 ±      0.018  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.0      10  avgt    6       35.779 ±      0.541  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.0     100  avgt    6      286.274 ±     13.997  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.0    1000  avgt    6     2865.747 ±    208.119  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.0   10000  avgt    6    32068.686 ±   2874.495  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.0  100000  avgt    6   385740.963 ± 129932.474  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.5       1  avgt    6        5.089 ±      0.299  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.5      10  avgt    6       60.769 ±      4.148  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.5     100  avgt    6      137.029 ±      1.532  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.5    1000  avgt    6      215.426 ±      3.623  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.5   10000  avgt    6      336.175 ±      6.618  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       0.5  100000  avgt    6      451.103 ±      4.206  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       1.0       1  avgt    6        4.592 ±      0.044  ns/op
c.m.a.b.set.SetSetBench.subsetOf                arrayset       1.0      10  avgt    6       56.652 ±      1.014  ns/op
